"Date and Time","NO<sub>2</sub>","O<sub>3</sub>","SO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2023-11-15 00:00:00",26.68,36.97,0.3,28.05,20.14
"2023-11-16 00:00:00",26.93,19.78,1.85,36.96,28.91
"2023-11-17 00:00:00",13.71,48.74,-0.81,12.27,7.28
"2023-11-18 00:00:00",4.62,56.8,-0.62,7.61,5.15
"2023-11-19 00:00:00",2.23,64.68,-0.91,8.11,5.31
"2023-11-20 00:00:00",7.49,40.17,-0.91,6.22,3.81
"2023-11-21 00:00:00",21.03,28.13,-1.02,17.03,8.8
"2023-11-22 00:00:00",10.22,48.87,-1.28,4.99,2.82
"2023-11-23 00:00:00",9.19,54.71,-1.14,6.27,3.44
"2023-11-24 00:00:00",22.8,36.68,-0.36,20.02,11.31
"2023-11-25 00:00:00",39.64,10.02,2.23,32.79,25.65
"2023-11-26 00:00:00",27.19,18.59,0.64,11.05,9.53
"2023-11-27 00:00:00",18.46,35.08,-0.2,7.36,5.06
"2023-11-28 00:00:00",33.21,13.11,0.85,19.33,13.11
"2023-11-29 00:00:00",31,15.77,0.33,17.74,13.65
"2023-11-30 00:00:00",26.75,24.91,0.65,10.62,7.54
"2023-12-01 00:00:00",38.29,3.66,2.88,30.54,26.04
"2023-12-02 00:00:00",35.44,9.68,2.05,24.72,22.85
"2023-12-03 00:00:00",25.88,19.44,1.36,19.89,18.88
"2023-12-04 00:00:00",17.47,29.06,1.36,9.45,7.18
"2023-12-05 00:00:00",29.25,16.42,2.37,24.86,21.46
"2023-12-06 00:00:00",15.01,33.65,1.29,12.16,7.56
"2023-12-07 00:00:00",16.18,45.21,1.1,12.22,6.54
"2023-12-08 00:00:00",5.96,61.3,0.75,11.92,6.93
"2023-12-09 00:00:00",5.64,69.16,0.94,12.1,7.16
"2023-12-10 00:00:00",5.51,67.68,0.77,10.66,6.31
"2023-12-11 00:00:00",16.56,50.91,0.97,15.98,6.21
"2023-12-12 00:00:00",27.42,24.98,1.69,20.34,9.75
"2023-12-13 00:00:00",22.06,14.71,1.19,13.46,7.95
"2023-12-14 00:00:00",18.11,36.88,0.66,20.15,10.01
"2023-12-15 00:00:00",9.03,48.26,0.2,10,5.58